ethnicity,number_admitted,number_admitted_qf,percent_admitted,percent_admitted_qf,date,year,month,day,week,weekday,season
"asian,_asian_scottish_or_asian_british",21,NA,1.9,NA,2022-09-01,2022,9,1,35,Thu,autumn
caribbean_or_black,NA,c,NA,c,2022-09-01,2022,9,1,35,Thu,autumn
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2022-09-01,2022,9,1,35,Thu,autumn
other,5,NA,0.45,NA,2022-09-01,2022,9,1,35,Thu,autumn
unknown,121,NA,10.94,NA,2022-09-01,2022,9,1,35,Thu,autumn
white,946,NA,85.53,NA,2022-09-01,2022,9,1,35,Thu,autumn
african,NA,c,NA,c,2022-10-01,2022,10,1,40,Sat,autumn
"asian,_asian_scottish_or_asian_british",22,NA,2.13,NA,2022-10-01,2022,10,1,40,Sat,autumn
caribbean_or_black,NA,c,NA,c,2022-10-01,2022,10,1,40,Sat,autumn
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2022-10-01,2022,10,1,40,Sat,autumn
other,13,NA,1.26,NA,2022-10-01,2022,10,1,40,Sat,autumn
unknown,128,NA,12.38,NA,2022-10-01,2022,10,1,40,Sat,autumn
white,867,NA,83.85,NA,2022-10-01,2022,10,1,40,Sat,autumn
african,NA,c,NA,c,2022-11-01,2022,11,1,44,Tue,autumn
"asian,_asian_scottish_or_asian_british",12,NA,1.54,NA,2022-11-01,2022,11,1,44,Tue,autumn
caribbean_or_black,NA,c,NA,c,2022-11-01,2022,11,1,44,Tue,autumn
mixed_or_multiple_ethnic_groups,9,NA,1.16,NA,2022-11-01,2022,11,1,44,Tue,autumn
other,6,NA,0.77,NA,2022-11-01,2022,11,1,44,Tue,autumn
unknown,102,NA,13.09,NA,2022-11-01,2022,11,1,44,Tue,autumn
white,647,NA,83.06,NA,2022-11-01,2022,11,1,44,Tue,autumn
african,NA,c,NA,c,2022-12-01,2022,12,1,48,Thu,winter
"asian,_asian_scottish_or_asian_british",20,NA,1.36,NA,2022-12-01,2022,12,1,48,Thu,winter
caribbean_or_black,NA,c,NA,c,2022-12-01,2022,12,1,48,Thu,winter
mixed_or_multiple_ethnic_groups,10,NA,0.68,NA,2022-12-01,2022,12,1,48,Thu,winter
other,10,NA,0.68,NA,2022-12-01,2022,12,1,48,Thu,winter
unknown,185,NA,12.6,NA,2022-12-01,2022,12,1,48,Thu,winter
white,1242,NA,84.6,NA,2022-12-01,2022,12,1,48,Thu,winter
african,NA,c,NA,c,2023-01-01,2023,1,1,1,Sun,winter
"asian,_asian_scottish_or_asian_british",11,NA,0.86,NA,2023-01-01,2023,1,1,1,Sun,winter
caribbean_or_black,NA,c,NA,c,2023-01-01,2023,1,1,1,Sun,winter
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2023-01-01,2023,1,1,1,Sun,winter
other,7,NA,0.55,NA,2023-01-01,2023,1,1,1,Sun,winter
